City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Katsuura,JP,2021-02-05 17:32:49,35.1333,140.3,46.0,76,75,5.75
236,Aswan,EG,2021-02-05 17:37:06,24.0934,32.907,64.81,40,5,14.36
237,Chibombo,ZM,2021-02-05 17:37:06,-14.6569,28.0706,68.49,96,77,4.23
238,Puerto Ayora,EC,2021-02-05 17:37:07,-0.7393,-90.3518,86.0,66,75,14.97
239,Mayo,US,2021-02-05 17:37:07,38.8876,-76.5119,53.01,57,1,8.05
240,Teguldet,RU,2021-02-05 17:37:07,57.3064,88.1667,6.78,95,100,4.83
241,Upata,VE,2021-02-05 17:34:25,8.0086,-62.3989,87.78,45,87,7.2
242,Pocri,PA,2021-02-05 17:37:07,8.2667,-80.55,87.8,58,40,12.66
243,Sisimiut,GL,2021-02-05 17:37:07,66.9395,-53.6735,12.92,74,25,11.01
244,Biankouma,CI,2021-02-05 17:37:07,7.7391,-7.6138,86.72,36,64,3.4
245,Lorengau,PG,2021-02-05 17:37:07,-2.0226,147.2712,80.74,76,90,2.59
246,Yar-Sale,RU,2021-02-05 17:37:07,66.8333,70.8333,-24.07,86,97,6.15
247,Lata,PT,2021-02-05 17:37:07,40.1629,-8.3327,53.01,89,100,1.01
248,Fortuna,US,2021-02-05 17:37:08,40.5982,-124.1573,46.99,93,90,4.27
249,Seminole,US,2021-02-05 17:37:08,28.7086,-81.2081,75.2,43,40,16.11
250,Ratnagiri,IN,2021-02-05 17:37:08,16.9833,73.3,74.26,64,0,10.09
251,Mnogovershinnyy,RU,2021-02-05 17:37:08,53.9353,139.9242,-15.05,90,100,4.54
252,Krasnouralsk,RU,2021-02-05 17:37:08,58.3638,60.0407,35.92,97,100,10.47
253,Pizarro,CO,2021-02-05 17:37:08,4.9533,-77.366,81.23,84,87,3.85
254,Rapar,IN,2021-02-05 17:37:08,23.5667,70.6333,67.26,33,0,10.31
255,Nata,PA,2021-02-05 17:37:09,8.3333,-80.5167,87.8,58,40,12.66
256,Faya,SA,2021-02-05 17:37:09,18.3851,42.4509,59.0,72,0,5.75
257,Laguna,US,2021-02-05 17:37:09,38.421,-121.4238,50.0,81,1,3.44
258,Kaitong,CN,2021-02-05 17:37:09,44.8135,123.15,13.41,92,84,3.49
259,Mujiayingzi,CN,2021-02-05 17:37:09,42.1167,118.7833,20.88,92,91,6.96
260,Katobu,ID,2021-02-05 17:37:09,-4.9408,122.5276,75.56,92,98,1.03
261,Kaeo,NZ,2021-02-05 17:37:09,-35.1,173.7833,57.99,94,100,3.11
262,Chumikan,RU,2021-02-05 17:37:10,54.7183,135.315,-12.8,85,100,16.08
263,Constitucion,CL,2021-02-05 17:37:10,-35.3333,-72.4167,65.3,67,79,6.06
264,Kattivakkam,IN,2021-02-05 17:37:10,13.2167,80.3167,73.4,68,0,3.44
265,Derzhavinsk,KZ,2021-02-05 17:37:10,51.1,66.3167,33.24,97,99,7.72
266,Robore,BO,2021-02-05 17:37:10,-18.3333,-59.75,84.2,61,20,11.5
267,Manakara,MG,2021-02-05 17:37:10,-22.1333,48.0167,79.66,84,35,9.01
268,Olafsvik,IS,2021-02-05 17:37:10,64.8945,-23.7142,38.03,81,100,32.84
269,Gizo,SB,2021-02-05 17:37:10,-8.103,156.8419,82.42,76,29,10.4
